Year,Variable,Month,Value
2018,Money Supply Component_Foreign currency deposits  ,January,14038.63
2018,Money Supply Component_Savings & Time deposits  ,January,22332.6
2018,Money Supply Component_Demand deposits  ,January,19297.9
2018,Money Supply Component_Currency outside banks  ,January,9955.22
2018,Total Assets of the Banking System   ,January,65731.09
2018,Net Domestic Assets_Other Items (net)  ,January,-11124.09
2018,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,46057.92
2018,Net Domestic Assets_Govt. Deposits  ,January,8620.31
2018,Net Domestic Assets_Claims on Govt.  ,January,25923.72
2018,Net Domestic Assets  ,January,46243.65
2018,Net Foreign Assets_DMBs  ,January,3510.61
2018,Net Foreign Assets_BOG  ,January,15976.83
2018,Net Foreign Assets  ,January,19487.44
2017,Money Supply_Total Liquidity (M2+)  ,January,58436.43
2017,Money Supply_ Narrow Money  (M1)  ,January,26898.6
2017,Money Supply_Broad Money (M2)  ,January,44588.59
2017,Money Supply_Reserve Money (RM)  ,January,17509.3
2017,Total Liabilities of the Bankning System  ,January,58436.43
2017,Money Supply Component_Foreign currency deposits  ,January,13847.84
2017,Money Supply Component_Savings & Time deposits  ,January,17689.99
2017,Money Supply Component_Demand deposits  ,January,17482.04
2017,Money Supply Component_Currency outside banks  ,January,9416.56
2017,Total Assets of the Banking System   ,January,58436.43
2017,Net Domestic Assets_Other Items (net)  ,January,-6478.18
2017,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,January,40100.97
2017,Net Domestic Assets_Govt. Deposits  ,January,7704.25
2017,Net Domestic Assets_Claims on Govt.  ,January,22313.71
2017,Net Domestic Assets  ,January,43396.2
2017,Net Foreign Assets_DMBs  ,January,3955.07
2017,Net Foreign Assets_BOG  ,January,11085.16
2017,Net Foreign Assets  ,January,15040.23
2023,Money Supply_Total Liquidity (M2+)  ,Febuary,201602.75
2023,Money Supply_ Narrow Money  (M1)  ,Febuary,92444.84
2023,Money Supply_Broad Money (M2)  ,Febuary,143732.5
2023,Money Supply_Reserve Money (RM)  ,Febuary,66660.76
2023,Total Liabilities of the Bankning System  ,Febuary,201602.75
2023,Money Supply Component_Foreign currency deposits  ,Febuary,58379.75
2023,Money Supply Component_Demand deposits  ,Febuary,61439.02
2023,Money Supply Component_Savings & Time deposits  ,Febuary,51287.66
2023,Money Supply Component_Currency outside banks  ,Febuary,31005.82
2023,Total Assets of the Banking System   ,Febuary,201602.75
2023,Net Domestic Assets_Other Items (net)  ,Febuary,-10035.84
2023,Net Domestic Assets_Govt. Deposits  ,Febuary,-13327.31
2023,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,76412.93
2023,Net Domestic Assets_Claims on Govt.  ,Febuary,132736.92
2023,Net Foreign Assets_BOG  ,Febuary,-21494.37
2023,Net Foreign Assets_DMBs  ,Febuary,10655.8
2023,Net Domestic Assets  ,Febuary,212441.31
2023,Net Foreign Assets  ,Febuary,-10838.57
2022,Total Assets of the Banking System   ,Febuary,139444.38
2022,Net Domestic Assets_Other Items (net)  ,Febuary,-14910.82
2022,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,64329.02
2022,Net Domestic Assets_Govt. Deposits  ,Febuary,18735.6
2022,Net Domestic Assets_Claims on Govt.  ,Febuary,103853.45
2022,Money Supply_Total Liquidity (M2+)  ,Febuary,139444.38
2022,Money Supply_Broad Money (M2)  ,Febuary,107281.63
2022,Money Supply_ Narrow Money  (M1)  ,Febuary,70941.29
2022,Money Supply_Reserve Money (RM)  ,Febuary,43197.72
2022,Total Liabilities of the Bankning System  ,Febuary,139444.38
2022,Money Supply Component_Foreign currency deposits  ,Febuary,32162.74
2022,Money Supply Component_Savings & Time deposits  ,Febuary,36340.35
2022,Money Supply Component_Demand deposits  ,Febuary,49283.21
2022,Money Supply Component_Currency outside banks  ,Febuary,21658.07
2022,Net Domestic Assets  ,Febuary,134536.04
2022,Net Foreign Assets_BOG  ,Febuary,9154.33
2022,Net Foreign Assets_DMBs  ,Febuary,-4246
2022,Net Foreign Assets  ,Febuary,4908.33
2021,Money Supply_Total Liquidity (M2+)  ,Febuary,118467.48
2021,Money Supply_Broad Money (M2)  ,Febuary,92071.18
2021,Money Supply_ Narrow Money  (M1)  ,Febuary,57987.1
2021,Total Liabilities of the Bankning System  ,Febuary,118467.48
2021,Money Supply_Reserve Money (RM)  ,Febuary,35439.73
2021,Money Supply Component_Savings & Time deposits  ,Febuary,34084.08
2021,Money Supply Component_Foreign currency deposits  ,Febuary,26396.31
2021,Money Supply Component_Demand deposits  ,Febuary,38540.09
2021,Money Supply Component_Currency outside banks  ,Febuary,19447
2021,Total Assets of the Banking System   ,Febuary,118467.48
2021,Net Domestic Assets_Other Items (net)  ,Febuary,-25793.89
2021,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,55441.14
2021,Net Domestic Assets_Claims on Govt.  ,Febuary,86287.49
2021,Net Domestic Assets_Govt. Deposits  ,Febuary,16599.85
2021,Net Domestic Assets  ,Febuary,99334.89
2021,Net Foreign Assets_BOG  ,Febuary,15460.68
2021,Net Foreign Assets_DMBs  ,Febuary,3671.92
2021,Net Foreign Assets  ,Febuary,19132.59
2020,Money Supply_Broad Money (M2)  ,Febuary,69798.91
2020,Money Supply_Total Liquidity (M2+)  ,Febuary,91762.67
2020,Money Supply_Reserve Money (RM)  ,Febuary,26284.64
2020,Money Supply_ Narrow Money  (M1)  ,Febuary,43500.82
2020,Total Liabilities of the Bankning System  ,Febuary,91762.67
2020,Money Supply Component_Foreign currency deposits  ,Febuary,21963.76
2020,Money Supply Component_Savings & Time deposits  ,Febuary,26298.09
2020,Money Supply Component_Demand deposits  ,Febuary,30107.92
2020,Total Assets of the Banking System   ,Febuary,91762.67
2020,Money Supply Component_Currency outside banks  ,Febuary,13392.9
2020,Net Domestic Assets_Other Items (net)  ,Febuary,-12599.46
2020,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,50658.28
2020,Net Domestic Assets_Govt. Deposits  ,Febuary,16498.94
2020,Net Domestic Assets  ,Febuary,69158.99
2020,Net Domestic Assets_Claims on Govt.  ,Febuary,47599.11
2020,Net Foreign Assets_DMBs  ,Febuary,-76.57
2020,Net Foreign Assets_BOG  ,Febuary,22680.25
2020,Net Foreign Assets  ,Febuary,22603.68
2019,Money Supply_Total Liquidity (M2+)  ,Febuary,80115.31
2019,Money Supply_Broad Money (M2)  ,Febuary,62114.88
2019,Money Supply_ Narrow Money  (M1)  ,Febuary,36087.76
2019,Money Supply_Reserve Money (RM)  ,Febuary,22066.42
2019,Total Liabilities of the Bankning System  ,Febuary,80115.31
2019,Money Supply Component_Foreign currency deposits  ,Febuary,18000.43
2019,Money Supply Component_Savings & Time deposits  ,Febuary,26027.12
2019,Money Supply Component_Currency outside banks  ,Febuary,11174.96
2019,Money Supply Component_Demand deposits  ,Febuary,24912.8
2019,Total Assets of the Banking System   ,Febuary,80115.31
2019,Net Domestic Assets_Other Items (net)  ,Febuary,-3421.09
2019,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,39616.01
2019,Net Domestic Assets_Govt. Deposits  ,Febuary,9269.35
2019,Net Domestic Assets_Claims on Govt.  ,Febuary,40674.56
2019,Net Domestic Assets  ,Febuary,67600.14
2019,Net Foreign Assets_DMBs  ,Febuary,1332.02
2019,Net Foreign Assets_BOG  ,Febuary,11183.15
2019,Net Foreign Assets  ,Febuary,12515.17
2018,Money Supply_Total Liquidity (M2+)  ,Febuary,65391.69
2018,Money Supply_ Narrow Money  (M1)  ,Febuary,28492.75
2018,Money Supply_Broad Money (M2)  ,Febuary,51061
2018,Money Supply_Reserve Money (RM)  ,Febuary,20182.67
2018,Total Liabilities of the Bankning System  ,Febuary,65460.47
2018,Money Supply Component_Foreign currency deposits  ,Febuary,14330.69
2018,Money Supply Component_Savings & Time deposits  ,Febuary,22568.25
2018,Money Supply Component_Demand deposits  ,Febuary,18758.08
2018,Money Supply Component_Currency outside banks  ,Febuary,9734.67
2018,Total Assets of the Banking System   ,Febuary,65460.47
2018,Net Domestic Assets_Other Items (net)  ,Febuary,-7171.03
2018,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,43886.95
2018,Net Domestic Assets_Govt. Deposits  ,Febuary,10349.19
2018,Net Domestic Assets_Claims on Govt.  ,Febuary,26193.57
2018,Net Domestic Assets  ,Febuary,46432.11
2018,Net Foreign Assets_DMBs  ,Febuary,4335.61
2018,Net Foreign Assets_BOG  ,Febuary,14692.76
2018,Net Foreign Assets  ,Febuary,19028.37
2017,Money Supply_Total Liquidity (M2+)  ,Febuary,58346.76
2017,Money Supply_ Narrow Money  (M1)  ,Febuary,25802.21
2017,Money Supply_Broad Money (M2)  ,Febuary,43686.92
2017,Money Supply_Reserve Money (RM)  ,Febuary,16447.43
2017,Total Liabilities of the Bankning System  ,Febuary,58346.76
2017,Money Supply Component_Foreign currency deposits  ,Febuary,14659.85
2017,Money Supply Component_Savings & Time deposits  ,Febuary,17884.7
2017,Money Supply Component_Demand deposits  ,Febuary,16750.8
2017,Money Supply Component_Currency outside banks  ,Febuary,9051.42
2017,Total Assets of the Banking System   ,Febuary,58346.76
2017,Net Domestic Assets_Other Items (net)  ,Febuary,-9524.2
2017,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,Febuary,40854.7
2017,Net Domestic Assets_Govt. Deposits  ,Febuary,7141.62
2017,Net Domestic Assets_Claims on Govt.  ,Febuary,23283.77
2017,Net Domestic Assets  ,Febuary,42594.31
2017,Net Foreign Assets_DMBs  ,Febuary,4070.23
2017,Net Foreign Assets_BOG  ,Febuary,11682.22
2017,Net Foreign Assets  ,Febuary,15752.45
2023,Money Supply_Total Liquidity (M2+)  ,March,206824.35
2023,Money Supply_ Narrow Money  (M1)  ,March,94959.7
2023,Money Supply_Broad Money (M2)  ,March,148131
2023,Money Supply_Reserve Money (RM)  ,March,57840.77
2023,Total Liabilities of the Bankning System  ,March,206824.35
2023,Money Supply Component_Foreign currency deposits  ,March,58855.41
2023,Money Supply Component_Demand deposits  ,March,63765.13
2023,Money Supply Component_Savings & Time deposits  ,March,53171.31
2023,Money Supply Component_Currency outside banks  ,March,31194.57
2023,Total Assets of the Banking System   ,March,206824.35
2023,Net Domestic Assets_Other Items (net)  ,March,-1608.81
2023,Net Domestic Assets_Govt. Deposits  ,March,-11560.83
2023,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,76208.82
2023,Net Domestic Assets_Claims on Govt.  ,March,132669.66
2023,Net Foreign Assets_BOG  ,March,-23944.4
2023,Net Foreign Assets_DMBs  ,March,11938.25
2023,Net Domestic Assets  ,March,218830.5
2023,Net Foreign Assets  ,March,-12006.15
2022,Total Assets of the Banking System   ,March,142729.13
2022,Net Domestic Assets_Other Items (net)  ,March,-16044.79
2022,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,67382.69
2022,Net Domestic Assets_Govt. Deposits  ,March,20194.32
2022,Net Domestic Assets_Claims on Govt.  ,March,107982.02
2022,Money Supply_Total Liquidity (M2+)  ,March,142729.13
2022,Money Supply_Broad Money (M2)  ,March,106050.89
2022,Money Supply_ Narrow Money  (M1)  ,March,68918.69
2022,Money Supply_Reserve Money (RM)  ,March,44866.58
2022,Total Liabilities of the Bankning System  ,March,142729.13
2022,Money Supply Component_Foreign currency deposits  ,March,36678.24
2022,Money Supply Component_Savings & Time deposits  ,March,37132.19
2022,Money Supply Component_Demand deposits  ,March,46827.89
2022,Money Supply Component_Currency outside banks  ,March,22090.81
2022,Net Domestic Assets  ,March,139125.61
2022,Net Foreign Assets_BOG  ,March,4485.86
2022,Net Foreign Assets_DMBs  ,March,-882.33
2022,Net Foreign Assets  ,March,3603.52
2021,Money Supply_Total Liquidity (M2+)  ,March,119445.22
2021,Money Supply_Broad Money (M2)  ,March,93226.01
2021,Money Supply_ Narrow Money  (M1)  ,March,59148.13
2021,Total Liabilities of the Bankning System  ,March,119445.22
2021,Money Supply_Reserve Money (RM)  ,March,34904.63
2021,Money Supply Component_Savings & Time deposits  ,March,34077.88
2021,Money Supply Component_Foreign currency deposits  ,March,26219.21
2021,Money Supply Component_Demand deposits  ,March,39823.39
2021,Money Supply Component_Currency outside banks  ,March,19324.74
2021,Total Assets of the Banking System   ,March,119445.22
2021,Net Domestic Assets_Other Items (net)  ,March,-23511.79
2021,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,55222.55
2021,Net Domestic Assets_Claims on Govt.  ,March,90387.46
2021,Net Domestic Assets_Govt. Deposits  ,March,17749.88
2021,Net Domestic Assets  ,March,104348.34
2021,Net Foreign Assets_BOG  ,March,11740.53
2021,Net Foreign Assets_DMBs  ,March,3356.35
2021,Net Foreign Assets  ,March,15096.87
2020,Money Supply_Broad Money (M2)  ,March,71097.88
2020,Money Supply_Total Liquidity (M2+)  ,March,92905.07
2020,Money Supply_Reserve Money (RM)  ,March,28486.64
2020,Money Supply_ Narrow Money  (M1)  ,March,44691.05
2020,Total Liabilities of the Bankning System  ,March,92905.07
2020,Money Supply Component_Foreign currency deposits  ,March,21807.18
2020,Money Supply Component_Savings & Time deposits  ,March,26406.84
2020,Money Supply Component_Demand deposits  ,March,31043.52
2020,Total Assets of the Banking System   ,March,92905.07
2020,Money Supply Component_Currency outside banks  ,March,13647.53
2020,Net Domestic Assets_Other Items (net)  ,March,-25303.39
2020,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,49467.68
2020,Net Domestic Assets_Govt. Deposits  ,March,12176.84
2020,Net Domestic Assets  ,March,66360.95
2020,Net Domestic Assets_Claims on Govt.  ,March,54373.5
2020,Net Foreign Assets_DMBs  ,March,-1141.41
2020,Net Foreign Assets_BOG  ,March,27685.53
